,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Unnamed: 9
605,Ola,Transportation,Seed,311000000.0,Bengaluru,It enables one to book cab online,2010.0,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",
606,Zoomcar,Transportation,Seed,4800000.0,Bengaluru,A car rental service platform,2013.0,"Greg Moran, David Back",Zoomcar Inc,
607,Kratikal,IT,Series A,1000000.0,Uttar pradesh,Provides cyber security solutions,2019.0,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",
608,Froogal,Customer Service,Series A,1000000.0,Hyderabad,A cloud based Customer Loyalty & Engagement Platform,2019.0,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,
609,Infra.Market,IT,Series A,20000000.0,Mumbai,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",2019.0,"Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",
610,Oyo,Hospitality,Seed,693000000.0,Gurugram,Provides rooms for comfortable stay,2013.0,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",
611,GoMechanic,Automotive,Series B,5000000.0,Delhi,Find automobile repair and maintenance service providers,2016.0,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,
612,Spinny,Automotive,Seed,50000000.0,Delhi,Online car retailer,2015.0,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",
613,Ess Kay Fincorp,Financial Services,Seed,33000000.0,Rajasthan,Organised Non-Banking Finance Company,2019.0,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",
614,Aqgromalin,AgTech,Seed,200000.0,Chennai,Cultivating Ideas for Profit,2020.0,"Prasanna Manogaran, Bharani C L",Angel investors,
615,Krayonnz,EdTech,Seed,100000.0,Bengaluru,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2020.0,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,
616,PadCare Labs,CleanTech,Seed,0.0,Pune,Converting bio-hazardous waste to harmless waste,2020.0,Ajinkya Dhariya,Venture Center,
617,NCOME,Legal,Seed,400000.0,Delhi,Escrow-as-a-service platform,2020.0,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",
618,Gramophone,AgTech,Seed,340000.0,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2020.0,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",
619,qZense,AgTech,Seed,600000.0,Bengaluru,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2020.0,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",
620,MyClassboard,EdTech,Series A,600000.0,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,2020.0,Ajay Sakhamuri,ICICI Bank.,
621,Metvy,IT,Seed,0.0,Gurgaon,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2020.0,Shawrya Mehrotra,HostelFund,
622,Rupeek,FinTech,Series C,45000000.0,Bengaluru,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2020.0,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",
623,Gig India,Crowdsourcing,Series A,1000000.0,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2020.0,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",
624,Slurrp Farm,Catering,Series A,2000000.0,Gurgaon,Slurrp Farm is a children health food brand.,2020.0,Meghana Narayan,Fireside Ventures,
625,Medfin,Healthcare,Series A,0.0,Bengaluru,Medfin is a Discovery platform for medical procedures and financing.,2020.0,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",
626,MasterG,Fashion,Seed,0.0,Delhi,MasterG is a design and skill development organisation.,2020.0,Gayatri Jolly,Acumen Fund's angel programme,
627,Brila 91,Catering,Seed,1200000.0,Delhi,Bira 91 is a craft beer company.,2020.0,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",
628,FoodyBuddy,Catering,Seed,600000.0,Belgaum,FoodyBuddy is a online food delivery portal,2020.0,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,
629,Zomato,Catering,Seed,660000000.0,Gurgaon,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2020.0,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",
630,OurEye.ai,FinTech,Seed,120000.0,Bengaluru,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020.0,"Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",
631,Shiprocket,E-Commerce,Series C,7500000.0,Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2020.0,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",
632,Pine Labs,FinTech,Seed,0.0,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,2020.0,Amrish Rau,"Mastercard, Temasek Holdings",
633,Moneyboxx Finance,FinTech,Seed,1000000.0,Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2020.0,Prashant Agarwal,"BlackSoil, Caspian",
634,EWar,Gaming,Series A,0.0,Bengaluru,EWar Games is a e-sports and real-time gaming start-up.,2020.0,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",
635,SucSEED Indovation,FinTech,Seed,5000000.0,Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2020.0,Vikrant Varshney,Unknown,
636,TaxBuddy.com,FinTech,Seed,1000000.0,Mumbai,TaxBuddy for any tax related issues.,2020.0,Sujit Bangar,Zenith Global,
637,Awign Enterprises,Human Resources,Seed,500000.0,Bengaluru,Operations and manpower outsourcing startup,2020.0,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",
638,Circle of Angels,FinTech,Seed,3000000.0,Gurgaon,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2020.0,Karanpal Singh,Unknown,
639,CoinDCX,FinTech,Series B,10000000.0,Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,2020.0,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",
640,Glance,AI,Seed,145000000.0,Bengaluru,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020.0,Naveen Tewari,Mithril Capital Management.,
641,VerSe Innovation,Telecommunication,Seed,100000000.0,Bengaluru,Owner of Dailyhunt App and I-Pay,2020.0,Virendra Gupta,Google,
642,Voosh,Catering,Seed,0.0,Bengaluru,Building India's largest digital food service brand,2020.0,Priyam Saraswat,Better Capital,
643,Delhivery,E-Commerce,Seed,1440000.0,Gurgaon,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,2020.0,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",
644,Arya,AgTech,Series B,21000000.0,Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",2020.0,"Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,
645,Pickrr,Logistics,Seed,4000000.0,Delhi,Pickrr is an on-demand first mile logistics company,2020.0,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,
646,PhonePe,FinTech,Seed,20000000.0,Andheri,PhonePe is a mobile payment application that enables users to transfer money instantly.,2020.0,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",
647,Countingwell,EdTech,Series A,1000000.0,Bengaluru,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2020.0,Nirmal Shah,"Delhi Private School, UAE, Interstar",
648,Callify.ai,IT,Seed,560000.0,Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2020.0,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,
649,Hudle,Sports,Series A,0.0,Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2020.0,Suhail Narain,Survam Partners,
650,Cover it Up,E-Commerce,Seed,400000.0,Chennai,Online portal that churns out high quality products,2020.0,Ronak Sarda,Angel investors,
651,BiteSpeed,E-Commerce,Seed,275000.0,Gurgaon,Chat-based commerce for E-commerce brands,2020.0,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,
652,WakeFit,Business Development,Series B,20000000.0,Bengaluru,Wakefitkart is a mattress manufacturing company,2020.0,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,
653,Sreyas Holistic Remedies,Healthcare,Seed,1000000.0,Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2020.0,Dr Prashant Soma,Blacksoil,
654,Fleeca India,Automotive,Seed,0.0,Jaipur,FLEECA is a Tyre Care Provider company.,2020.0,Tikam Jain,Bridgestone India,
655,M1xchange,FinTech,Seed,4500000.0,Gurgaon,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2020.0,Sundeep Mohindru,"BEENEXT, Mayfield Fund",
656,Exotel,Cloud Computing,Seed,5000000.0,Bengaluru,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2020.0,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",
657,PagarBook,Software,Series A,15000000.0,Bengaluru,"Staff's Salary, Work & Attendance Management Application",2020.0,"Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",
658,PointOne Capital,Finance,Seed,1440000.0,Bengaluru,Pre-seed/Seed focussed VC investor,2020.0,Mihir Jha,Unknown,
659,Ayana,Energy,Seed,390000000.0,Bengaluru,Ayana Renewable Power is an Indian renewable energy platform,2020.0,Shivanand N,"NIIF Ltd, CDC Group",
660,Fisdom,FinTech,Seed,7000000.0,Bengaluru,Fisdom is a fintech company that offers investment advisory services through an application.,2020.0,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",
661,Tinker Coders,EdTech,Seed,0.0,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020.0,Anoop Gautam,STEMROBO Technologies,
662,Infinite Uptime,IoT,Series B,5100000.0,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020.0,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",
663,HappyLocate,Saas,Series A,500000.0,Bengaluru,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020.0,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,
664,PhonePe,FinTech,Seed,700000000.0,Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2020.0,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,
665,Loop Health,Healthcare,Seed,2300000.0,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020.0,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",
666,NeoDocs,Healthcare,Seed,0.0,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020.0,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,
667,The ePlane,Aerospace,Seed,0.0,Chennai,Transforming the mobility landscape using aerial transport.,2020.0,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,
668,TagMango,Advertising,Seed,700000.0,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020.0,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",
669,The New Shop,Business Development,Seed,500000.0,Delhi,The New Shop is a chain of high speed retail stores,2020.0,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,
670,MobiKwik,FinTech,Seed,7000000.0,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020.0,"Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",
671,DebugsBunny,EdTech,Seed,100000.0,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020.0,Sumit Sanjay Singare,India Angel Fund,
672,BHIVE Investech,Human Resources,Seed,1000000.0,Bengaluru,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020.0,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,
673,Rivigo,Logistics,Seed,19000000.0,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020.0,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",
674,ZipLoan,Finance,Seed,3000000.0,Delhi,ZipLoan is a online lending platform,2020.0,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",
675,Swipez,FinTech,Seed,0.0,Pune,Swipez is a payment collection platform.,2020.0,Vivek Iyer,"9Unicorns, Anicut",
676,Humus,AgTech,Seed,0.0,Bengaluru,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020.0,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",
677,Artivatic.ai,IT,Seed,0.0,Bengaluru,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020.0,Layak Singh,"SenseAI Ventures, Saurabh Chugh",
678,Prescinto,Energy,Seed,0.0,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020.0,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",
679,Toppeq,Saas,Seed,0.0,Mumbai,SaaS-based equity management platform,2020.0,Nandini Sankar,Unknown,
680,Bolo Indya,Media and Entertainment,Seed,400000.0,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020.0,"Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",
681,Bombay Play,Gaming,Seed,1000000.0,Bengaluru,Bombay Play is a Card and Toy Company Making games for India.,2020.0,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",
682,FreshToHome,E-Commerce,Seed,0.0,Bengaluru,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020.0,Shan Kadavil,Investment Corporation of Dubai (ICD),
683,KIKO TV,Media and Entertainment,Seed,0.0,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020.0,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",
684,Atomberg Technologies,Consumer Goods,Series B,9000000.0,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020.0,"Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",
685,DealShare,E-Commerce,Series C,21000000.0,Jaipur,DealShare is a Social Commerce Startup,2020.0,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",
686,Smallcase,FinTech,Seed,0.0,Bengaluru,Changing how India invests in equities,2020.0,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",
687,CueMath,EdTech,Series C,40000000.0,Bengaluru,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020.0,Manan Khurma,"Sequoia Capital India, CapitalG",
688,Gamerji,Gaming,Seed,0.0,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020.0,"Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,
689,5C Network,Healthcare,Series A,1200000.0,Bengaluru,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020.0,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",
690,Ethereum Push Notification Service,Blockchain,Seed,750000.0,Mumbai,EPNS is a decentralized notification protocol,2020.0,"Harsh Rajat, Richa Joshi",Prolific angel investors,
691,Mihup,AI,Series A,1500000.0,Kolkata,Intelligence-based personal mobile assistant app,2020.0,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",
692,RuralBasket,E-Commerce,Seed,500000.0,Tirunelveli,Naturally grown and healthy products directly from farmers.,2020.0,Palani Rajan,Nativelead Foundation,
693,WayCool Foods,AgTech,Seed,7800000.0,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020.0,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",
